user_id,signup_date,country,device_type,acquisition_channel,plan_type,monthly_price,sessions_per_month,avg_session_duration,features_used,support_tickets,engagement_score,churned,churn_date,lifetime_value
1,2024-04-12,Canada,Tablet,Ads,Free,0,13,43,11,1,559,1,1720396800000000000,0
2,2024-12-14,USA,Mobile,Referral,Basic,10,14,40,7,1,560,1,1739577600000000000,20
3,2024-09-27,USA,Tablet,Email,Pro,25,34,34,1,2,1156,0,,250
4,2024-04-16,Germany,Mobile,Ads,Basic,10,38,26,4,0,988,0,,70
5,2024-03-12,Germany,Mobile,Ads,Free,0,46,9,4,2,414,1,1718668800000000000,0
6,2024-07-07,Canada,Desktop,Ads,Free,0,33,6,6,0,198,1,1733702400000000000,0
7,2024-01-21,India,Mobile,Ads,Free,25,25,6,5,1,150,1,1710115200000000000,225
8,2024-04-12,UK,Mobile,Ads,Pro,0,23,32,6,1,736,0,,0
9,2024-05-01,UK,Desktop,Organic,Free,0,35,28,6,0,980,0,,0
10,2024-08-02,USA,Mobile,Referral,Pro,0,54,39,2,2,2106,0,,0
11,2024-11-26,USA,Mobile,Organic,Basic,0,8,32,6,0,256,1,1746576000000000000,0
12,2024-03-28,Canada,Mobile,Email,Free,0,50,12,7,1,600,0,,0
13,2024-04-09,UK,Mobile,Email,Free,0,26,5,9,1,130,1,1719792000000000000,0
14,2024-12-25,USA,Tablet,Organic,Pro,25,59,44,3,0,2596,0,,150
15,2024-05-31,USA,Desktop,Organic,Free,25,29,39,10,1,1131,0,,50
16,2024-05-10,Germany,Tablet,Email,Basic,0,59,3,3,1,177,1,1721260800000000000,0
17,2024-05-29,India,Desktop,Email,Free,25,28,29,1,0,812,0,,250
18,2024-11-04,Canada,Mobile,Email,Free,10,13,12,5,0,156,1,1734739200000000000,70
19,2024-09-14,India,Desktop,Referral,Basic,0,43,30,4,1,1290,0,,0
20,2024-12-09,India,Desktop,Ads,Basic,0,23,16,3,0,368,1,1740441600000000000,0
21,2024-10-20,Canada,Mobile,Organic,Basic,10,4,12,1,0,48,1,1738454400000000000,30
22,2024-07-10,UK,Mobile,Ads,Free,25,12,26,10,0,312,1,1733011200000000000,25
23,2024-10-03,USA,Desktop,Ads,Free,10,19,14,8,1,266,1,1741651200000000000,90
24,2024-06-09,Canada,Mobile,Email,Free,25,44,5,11,0,220,1,1728259200000000000,50
25,2024-11-09,USA,Desktop,Organic,Pro,0,56,21,3,0,1176,0,,0
26,2024-01-22,Germany,Mobile,Ads,Free,0,13,30,6,0,390,1,1714608000000000000,0
27,2024-09-09,India,Desktop,Referral,Free,0,5,22,9,0,110,1,1731369600000000000,0
28,2024-08-23,Germany,Mobile,Organic,Pro,25,45,37,1,0,1665,0,,175
29,2024-12-10,India,Desktop,Organic,Pro,25,30,22,10,0,660,0,,75
30,2024-02-18,UK,Desktop,Email,Free,25,54,10,1,1,540,1,1712707200000000000,275
31,2024-02-28,Canada,Mobile,Email,Pro,0,24,33,1,0,792,0,,0
32,2024-06-18,UK,Mobile,Referral,Basic,0,30,33,6,0,990,0,,0
33,2024-07-06,India,Mobile,Ads,Free,0,8,44,3,0,352,1,1730332800000000000,0
34,2024-09-27,Germany,Mobile,Ads,Free,0,38,19,6,0,722,0,,0
35,2024-07-08,India,Mobile,Referral,Basic,0,7,9,1,0,63,1,1726963200000000000,0
36,2024-06-23,UK,Mobile,Organic,Pro,0,41,43,6,1,1763,0,,0
37,2024-02-20,UK,Desktop,Organic,Basic,0,48,24,5,0,1152,0,,0
38,2024-12-29,Germany,Mobile,Referral,Free,0,47,10,6,1,470,1,1740009600000000000,0
39,2024-02-24,Germany,Mobile,Organic,Free,0,33,16,7,1,528,1,1714694400000000000,0
40,2024-08-31,UK,Desktop,Organic,Free,10,19,41,7,0,779,0,,90
41,2024-11-15,India,Desktop,Ads,Pro,10,54,5,10,0,270,1,1740355200000000000,90
42,2024-05-10,India,Mobile,Ads,Free,10,24,34,7,0,816,0,,100
43,2024-11-02,Canada,Mobile,Ads,Free,25,49,39,3,0,1911,0,,175
44,2024-05-14,UK,Mobile,Organic,Basic,0,53,12,3,0,636,0,,0
45,2024-01-21,Canada,Tablet,Email,Free,10,28,7,8,1,196,1,1713744000000000000,70
46,2024-11-24,UK,Desktop,Organic,Basic,25,37,11,11,0,407,1,1736985600000000000,200
47,2024-06-15,Canada,Tablet,Ads,Basic,10,16,11,2,1,176,1,1731369600000000000,100
48,2024-09-30,USA,Desktop,Ads,Free,25,23,4,4,1,92,1,1736380800000000000,100
49,2024-03-29,India,Tablet,Email,Free,25,50,44,8,2,2200,0,,125
50,2024-11-11,India,Mobile,Organic,Free,0,11,20,3,0,220,1,1736380800000000000,0
51,2024-01-14,USA,Mobile,Email,Free,25,55,2,10,1,110,1,1709251200000000000,200
52,2024-08-29,Germany,Desktop,Email,Free,25,26,39,1,0,1014,0,,250
53,2024-09-21,USA,Mobile,Organic,Free,10,22,38,10,0,836,0,,30
54,2024-12-11,India,Mobile,Email,Pro,25,50,42,9,0,2100,0,,25
55,2024-02-22,UK,Mobile,Ads,Free,25,31,2,5,0,62,1,1723852800000000000,275
56,2024-12-05,Canada,Mobile,Email,Basic,25,34,8,6,2,272,1,1747872000000000000,250
57,2024-04-01,India,Mobile,Ads,Pro,25,33,4,10,0,132,1,1714608000000000000,225
58,2024-09-20,USA,Mobile,Organic,Free,0,27,7,3,0,189,1,1736985600000000000,0
59,2024-02-04,UK,Desktop,Ads,Basic,25,25,4,3,0,100,1,1714521600000000000,250
60,2024-07-24,India,Desktop,Ads,Free,25,16,2,4,0,32,1,1734912000000000000,275
61,2024-03-21,USA,Tablet,Organic,Free,25,16,37,9,0,592,1,1719878400000000000,175
62,2024-02-19,India,Mobile,Ads,Basic,10,47,41,2,0,1927,0,,90
63,2024-12-25,USA,Mobile,Ads,Free,25,40,17,7,1,680,0,,250
64,2024-01-02,USA,Mobile,Referral,Free,0,3,24,9,1,72,1,1718582400000000000,0
65,2024-02-23,India,Mobile,Organic,Free,10,54,44,9,0,2376,0,,40
66,2024-04-15,UK,Mobile,Referral,Free,25,22,34,10,2,748,0,,250
67,2024-09-16,India,Mobile,Ads,Free,25,48,4,5,0,192,1,1733184000000000000,125
68,2024-11-05,India,Mobile,Organic,Free,25,21,19,5,0,399,1,1745798400000000000,275
69,2024-07-09,UK,Desktop,Referral,Basic,25,37,7,7,1,259,1,1726012800000000000,175
70,2024-08-05,India,Mobile,Email,Free,25,26,12,8,0,312,1,1728518400000000000,25
71,2024-02-13,Canada,Mobile,Organic,Basic,10,51,13,8,0,663,0,,110
72,2024-06-10,Canada,Mobile,Organic,Basic,25,11,35,8,1,385,1,1722297600000000000,225
73,2024-07-20,Canada,Mobile,Referral,Free,25,8,29,8,1,232,1,1736380800000000000,25
74,2024-09-26,USA,Mobile,Email,Pro,25,54,13,7,0,702,0,,175
75,2024-12-16,Germany,Mobile,Ads,Pro,10,7,26,11,1,182,1,1737072000000000000,70
76,2024-10-30,India,Desktop,Ads,Free,0,10,29,2,2,290,1,1735084800000000000,0
77,2024-09-27,Germany,Tablet,Organic,Pro,0,24,29,2,0,696,0,,0
78,2024-08-02,Canada,Mobile,Organic,Free,25,14,21,5,0,294,1,1730332800000000000,250
79,2024-09-08,UK,Desktop,Organic,Basic,10,38,12,10,1,456,1,1737936000000000000,30
80,2024-07-08,Canada,Mobile,Ads,Pro,0,21,37,6,0,777,0,,0
81,2024-10-22,India,Desktop,Email,Free,10,58,39,7,3,2262,0,,30
82,2024-07-31,Germany,Desktop,Organic,Basic,25,51,32,2,1,1632,0,,100
83,2024-07-26,Germany,Desktop,Ads,Free,25,19,35,8,0,665,0,,200
84,2024-08-24,USA,Desktop,Ads,Free,0,45,26,3,0,1170,0,,0
85,2024-12-03,UK,Desktop,Ads,Free,10,1,38,6,1,38,1,1744416000000000000,90
86,2024-02-22,Canada,Mobile,Organic,Free,0,58,32,1,1,1856,0,,0
87,2024-10-06,UK,Mobile,Ads,Basic,10,41,13,2,0,533,1,1739577600000000000,10
88,2024-08-04,India,Mobile,Ads,Free,10,40,24,8,1,960,0,,60
89,2024-09-08,USA,Mobile,Email,Free,10,30,43,4,0,1290,0,,90
90,2024-07-06,Canada,Mobile,Email,Free,25,16,32,5,1,512,1,1723420800000000000,275
91,2024-02-10,India,Mobile,Organic,Free,0,37,9,2,1,333,1,1711238400000000000,0
92,2024-06-05,UK,Desktop,Email,Free,10,23,26,1,1,598,1,1732320000000000000,80
93,2024-01-15,USA,Tablet,Ads,Pro,25,47,17,8,1,799,0,,175
94,2024-10-27,Canada,Tablet,Ads,Pro,25,51,28,3,1,1428,0,,75
95,2024-03-05,UK,Mobile,Email,Free,0,32,15,11,0,480,1,1717718400000000000,0
